Food Item,Carbon kg CO2eq/kg
butter,8.48
cream,5.45
mascarpone,5.7
mozzarella,8.2
ricotta,3.4
stracchino,4.92
asiago,10.24
camembert,7.55
ceddar,11.21
cheese,8.93
cheese semi-hard,8.65
emmental,8.2
goat cheese,8.35
grana padano,15.34
parmigiano reggiano,12.54
pecorino,17.15
eggs,3.2
honey,1.74
buffalo milk,3.57
cow milk,1.31
goat milk,1.44
"yogurt, flavoured",2.85
"yogurt, lactose free",3.47
"yogurt, white",1.69
